0	314519.896	314920.796	5809580.105	5809959.275	-0.46	11.38
1	314581.516	314959.786	5809593.475	5809967.195	-1.08	12.64
2	314572.686	314987.946	5809560.325	5809950.815	-0.96	10.38
3	314533.936	314992.136	5809531.185	5809991.785	-0.45	6.31
4	314531.076	314804.506	5809543.585	5809921.875	2.02	6.38
5	314508.476	314932.766	5809525.965	5809988.205	-0.5	11.19
6	314548.046	314998.156	5809513.065	5809951.515	-0.48	11.52
7	314585.716	314996.476	5809516.005	5809964.205	-0.49	14.86
8	314514.996	314786.026	5809579.715	5809994.705	1.64	22.74
9	314537.006	314983.836	5809683.185	5809973.905	-0.48	11.16
10	314588.116	314904.086	5809534.205	5809879.945	1.59	59.53
11	314534.736	314908.736	5809607.305	5809950.775	1.79	32.98
12	314554.646	314939.926	5809548.745	5809986.815	-0.44	9.24
13	314502.396	314969.316	5809580.385	5809987.265	-0.51	17.21
14	314602.026	314995.806	5809552.395	5809956.975	0.1	12.33
15	314537.436	314708.936	5809586.545	5809994.825	1.6	31.36
16	314606.586	314992.396	5809630.355	5809947.695	-0.5	14.61
17	314559.626	314971.526	5809521.825	5809952.165	0.02	32.74
18	314526.456	314835.726	5809501.265	5809968.455	1.57	56.19
19	314606.616	314783.506	5809531.325	5809907.795	1.83	35.71
20	314521.636	314970.306	5809606.025	5809987.145	-0.75	29.76
21	314523.406	314966.186	5809504.725	5809956.175	-0.46	31.47
22	314595.426	314971.266	5809517.695	5809993.315	-0.56	19.15
23	314534.816	314852.776	5809530.645	5809926.765	1.27	47.15
24	314503.526	314957.406	5809596.105	5809945.165	-0.45	149.4
25	314563.146	314971.156	5809555.485	5809927.955	1.41	26.61
26	314522.826	314973.216	5809548.135	5809996.115	-0.46	9.13
27	314508.416	314976.586	5809503.655	5809995.595	-0.47	14.63
28	314594.466	314895.916	5809601.295	5809994.935	1.86	12.56
29	314534.726	314915.676	5809544.565	5809998.715	-0.42	13.68
30	314580.046	314929.606	5809553.795	5809914.455	-0.46	18.94
31	314519.416	314952.906	5809506.685	5809963.375	-0.45	64.95
32	314540.286	314986.446	5809506.275	5809988.035	-0.75	11.26
33	314502.666	314845.406	5809540.935	5809969.245	1.81	24.52
34	314506.066	314925.976	5809523.185	5809943.215	1.58	34.79
